month,metric,simulated_kwh,reference_kwh,error_kwh,error_pct
1,heating,626.365,255.360,371.005,145.29
2,heating,340.744,293.660,47.084,16.03
3,heating,254.793,125.290,129.503,103.36
4,heating,75.232,268.290,-193.058,-71.96
5,heating,9.158,33.280,-24.122,-72.48
6,heating,1.243,0.000,1.243,0.00
7,heating,0.000,0.000,0.000,0.00
8,heating,0.000,0.000,0.000,0.00
9,heating,0.000,0.110,-0.110,-100.00
10,heating,14.294,80.960,-66.666,-82.34
11,heating,223.925,296.630,-72.705,-24.51
12,heating,375.700,307.590,68.110,22.14
1,cooling,0.962,53.410,-52.448,-98.20
2,cooling,6.209,12.480,-6.271,-50.25
3,cooling,39.691,65.790,-26.099,-39.67
4,cooling,50.421,18.630,31.791,170.64
5,cooling,185.870,114.910,70.960,61.75
6,cooling,329.646,404.250,-74.604,-18.45
7,cooling,626.287,399.740,226.547,56.67
8,cooling,586.287,512.940,73.347,14.30
9,cooling,445.443,493.440,-47.997,-9.73
10,cooling,224.127,293.160,-69.033,-23.55
11,cooling,83.714,68.290,15.424,22.59
12,cooling,14.939,61.120,-46.181,-75.56
annual,heating,1921.454,1661.170,260.284,15.67
annual,cooling,2593.597,2498.160,95.437,3.82
